x,y,radius
240,12,56.9759712219
618,241,45.6437988281
600,226,45.5330543518
598,214,45.3237953186
578,198,44.1207122803
575,187,44.1071815491
562,181,43.7922515869
558,164,43.7411346436
546,150,43.5490264893
538,137,43.4888305664
537,121,43.5694770813
532,110,43.4644241333
533,102,43.567440033
533,86,43.7410087585
534,73,43.9119415283
541,53,44.4169387817
542,48,44.4804954529
551,30,45.0778770447
554,26,44.8664054871
564,11,44.0442085266
569,7,43.707775116
580,2,42.5471305847
592,1,39.5285682678
603,4,35.7841720581
612,6,27.1708545685
619,7,21.3601093292
621,9,19.9124069214
624,13,19.8495330811
629,16,18.8680610657
630,17,19.0066776276
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
638,115,23.0218276978
638,112,31.0162239075
637,105,38.5293083191
637,96,41.5482635498
632,86,43.5661392212
621,74,44.1916923523
619,67,44.3358840942
607,55,44.6564750671
609,43,45.3970336914
595,28,45.1328086853
597,18,45.6947364807
582,6,42.5000991821
578,1,37.5300865173
574,1,31.0162239075
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
397,358,19.0263977051
395,358,23.0218276978
395,357,25.0450592041
393,358,26.019323349
394,358,24.5204982758
394,358,23.0218276978
396,358,18.0278549194
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
438,358,15.532324791
440,357,29.5382099152
442,354,33.3055038452
438,341,34.0578460693
440,321,33.6625518799
444,300,33.4576148987
439,281,33.2254486084
441,262,33.1447715759
439,253,33.0315513611
439,233,33.0064125061
443,217,33.1007804871
440,202,33.0211906433
440,188,33.0530166626
441,182,33.1175804138
441,170,33.1935806274
443,163,33.3450241089
440,161,33.2195091248
441,158,33.3166427612
438,156,33.3106269836
438,157,33.2474403381
435,159,33.2257156372
433,161,33.2194824219
431,166,33.1438789368
428,170,33.0934295654
427,173,33.1350059509
424,177,33.0464897156
424,178,33.0261421204
422,182,32.9609603882
421,188,33.0225906372
420,191,33.0231513977
419,196,33.0615196228
418,197,33.0368309021
418,199,33.0140991211
418,201,33.0273513794
418,203,33.0649871826
416,203,33.0157432556
417,204,33.0322685242
416,206,33.0375938416
417,207,33.0501708984
417,208,33.1851844788
419,208,33.1857185364
418,207,33.1253814697
420,206,33.1575393677
419,205,33.068031311
420,203,33.1408615112
420,199,33.1408615112
422,196,33.1253814697
421,193,33.0071640015
427,187,33.1302947998
425,184,33.0501708984
429,176,33.0546531677
427,171,32.9980316162
433,162,32.9479560852
438,153,33.0687332153
435,139,32.9319534302
439,130,33.0220489502
435,111,32.9410209656
440,101,33.0014457703
437,80,32.8808822632
437,59,33.036655426
443,39,33.2754936218
441,18,33.749671936
438,3,32.6382675171
440,1,29.5382099152
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
234,6,33.5411186218
221,22,34.6622657776
207,56,33.8896255493
199,74,33.6625480652
197,91,33.3952331543
175,121,33.4022827148
150,152,33.6443252563
146,171,33.6111221313
121,200,34.206325531
115,220,34.3573570251
91,245,34.9674224854
85,264,35.1924285889
65,290,35.9760856628
58,311,36.4006500244
40,338,37.5833396912
36,351,36.7730522156
34,356,34.132194519
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
190,358,19.5257225037
189,358,23.5213661194
189,357,27.0417346954
189,356,28.1114845276
184,355,28.218000412
184,352,28.6409893036
176,355,28.2843704224
173,352,28.2578411102
165,354,27.2996902466
159,354,26.8794593811
151,357,26.0433330536
140,357,24.5815963745
134,357,22.5888137817
119,358,15.532324791
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
638,265,19.5257225037
637,280,67.0168914795
613,287,76.5507354736
589,296,79.7277603149
561,323,85.4533004761
553,342,87.5686416626
507,356,84.537071228
461,357,79.5252532959
433,357,77.0147094727
407,357,73.5154037476
384,357,76.5148010254
351,357,77.5259017944
315,357,77.0260696411
293,357,80.0141601562
271,357,79.5252532959
254,354,80.6257781982
235,356,80.5559768677
223,357,81.5139007568
205,354,81.125
184,356,81.5552978516
184,356,81.0556335449
179,356,80.5559768677
168,356,79.5566864014
153,357,79.514251709
154,356,78.0401535034
141,356,78.0401535034
139,357,76.0149002075
134,357,74.0271224976
128,357,73.527305603
127,357,70.016166687
117,357,70.5160522461
110,357,67.5297241211
109,358,61.0082969666
104,358,62.0081634521
103,358,55.5091056824
96,358,50.5099983215
96,358,36.0139846802
91,358,17.5286464691
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
253,1,21.5233421326
235,2,31.0645484924
214,34,35.4480133057
187,68,33.7170753479
177,94,33.4698600769
576,10,63.7888145447
549,10,68.0108413696
543,36,68.6900253296
517,62,69.1557769775
506,105,67.691368103
488,136,67.5092010498
485,152,67.6774749756
479,178,67.9807357788
474,200,68.453338623
476,234,69.514503479
471,240,69.4623184204
471,256,69.9727554321
469,278,70.8498687744
471,292,72.6376724243
474,305,72.5913391113
471,318,72.2636871338
475,331,72.5386352539
471,334,72.2227554321
474,348,72.321685791
470,355,72.0866394043
473,357,72.0157241821
467,356,70.5444107056
467,358,69.0073471069
465,357,68.5165176392
460,357,68.5165176392
457,357,69.5288696289
452,357,70.0286636353
445,357,72.0278701782
438,354,72.140586853
430,349,73.3191223145
424,346,73.1642990112
415,328,73.2479553223
409,324,73.5610961914
398,306,73.0238113403
389,301,73.1053085327
384,288,72.8604507446
370,278,71.450302124
365,263,70.9349746704
350,255,70.6074447632
333,238,70.2891464233
314,216,69.767906189
293,202,69.529296875
272,190,69.4875106812
256,171,69.4623184204
236,157,69.5000076294
210,153,69.7360839844
201,143,69.9332885742
172,141,70.4998855591
150,134,71.0213623047
128,129,71.6444015503
102,131,72.4617462158
82,134,72.981262207
69,136,74.5616226196
51,140,74.1796798706
34,143,73.5610961914
11,151,72.9639205933
7,154,72.3488540649
2,164,70.0286636353
1,173,65.5172729492
1,179,62.5180969238
1,189,55.0205497742
1,198,49.5102005005
1,202,41.5121459961
1,212,36.5137939453
1,216,30.5164890289
1,222,32.0157203674
1,229,33.5150222778
1,239,40.5124435425
1,242,44.5113334656
1,251,54.0093574524
1,253,57.0198326111
1,263,59.0191650391
1,272,60.0188446045
1,276,61.508228302
1,279,63.5178146362
1,284,66.0171432495
2,289,70.0286636353
10,287,72.2669677734
21,288,73.5612945557
26,288,75.1416320801
35,289,78.2020492554
47,287,78.1396789551
65,280,78.6289749146
95,269,75.8588943481
114,263,75.1665802002
129,257,74.3246459961
152,246,73.3943481445
163,241,73.0999069214
169,235,73.0069503784
193,221,72.0431594849
203,214,71.7151565552
230,200,70.8641433716
263,186,70.1786193848
282,172,70.0376281738
300,159,69.7944793701
317,152,69.6435928345
336,140,69.6539001465
353,133,69.707069397
368,121,69.7317733765
394,108,70.0459060669
414,96,70.4194564819
426,85,70.5213623047
451,75,71.1797943115
466,65,72.2531280518
473,58,72.2716293335
488,51,72.3031158447
488,49,71.9392318726
503,42,72.5618057251
506,40,72.2675704956
525,31,72.8184967041
531,28,73.0771102905
543,21,73.5031661987
555,14,73.8394546509
568,16,72.8921432495
571,19,70.7408218384
577,22,65.4867401123
580,24,63.2318153381
586,25,58.3653297424
589,27,56.8243904114
593,29,53.9561004639
595,29,52.9741477966
596,30,52.4310073853
594,32,54.8111381531
591,34,58.41456604
585,37,65.0481567383
